"Region Midtjylland","Albania","Faroe Islands",0
"Region Midtjylland","Albania","Greenland",0
"Region Midtjylland","Albania","Albania",2
"Region Midtjylland","Albania","Andorra",0
"Region Midtjylland","Albania","Belarus",0
"Region Midtjylland","Albania","Belgium",0
"Region Midtjylland","Albania","Bosnia and Herzegovina",0
"Region Midtjylland","Albania","Bulgaria",0
"Region Midtjylland","Albania","Cyprus",0
"Region Midtjylland","Albania","GDR",0
"Region Midtjylland","Albania","Estonia",0
"Region Midtjylland","Albania","Finland",0
"Region Midtjylland","Albania","France",0
"Region Midtjylland","Albania","Greece",0
"Region Midtjylland","Albania","Ireland",0
"Region Midtjylland","Albania","Iceland",0
"Region Midtjylland","Albania","Italy",0
"Region Midtjylland","Albania","Yugoslavia",0
"Region Midtjylland","Albania","Yugoslavia, Federal Republic",0
"Region Midtjylland","Albania","Kosovo",0
"Region Midtjylland","Albania","Croatia",0
"Region Midtjylland","Albania","Latvia",0
"Region Midtjylland","Albania","Liechtenstein",0
"Region Midtjylland","Albania","Lithuania",0
"Region Midtjylland","Albania","Luxembourg",0
"Region Midtjylland","Albania","Malta",0
"Region Midtjylland","Albania","Moldova",0
"Region Midtjylland","Albania","Monaco",0
"Region Midtjylland","Albania","Montenegro",0
"Region Midtjylland","Albania","Netherlands",0
"Region Midtjylland","Albania","Northern Ireland",0
"Region Midtjylland","Albania","Republic of North Macedonia",0
"Region Midtjylland","Albania","Norway",0
"Region Midtjylland","Albania","Poland",0
"Region Midtjylland","Albania","Portugal",0
"Region Midtjylland","Albania","Romania",0
"Region Midtjylland","Albania","Russia",0
"Region Midtjylland","Albania","San Marino",0
"Region Midtjylland","Albania","Switzerland",0
"Region Midtjylland","Albania","Serbia",0
"Region Midtjylland","Albania","Serbia and Montenegro",0
"Region Midtjylland","Albania","Slovakia",0
"Region Midtjylland","Albania","Slovenia",0
"Region Midtjylland","Albania","Soviet Union",0
"Region Midtjylland","Albania","Spain",0
