"Aarhus","0 years","Albania",0
"Aarhus","0 years","Andorra",0
"Aarhus","0 years","Belarus",0
"Aarhus","0 years","Belgium",0
"Aarhus","0 years","Bosnia and Herzegovina",0
"Aarhus","0 years","Bulgaria",0
"Aarhus","0 years","Cyprus",0
"Aarhus","0 years","GDR",0
"Aarhus","0 years","Estonia",0
"Aarhus","0 years","Finland",0
"Aarhus","0 years","France",1
"Aarhus","0 years","Greece",0
"Aarhus","0 years","Ireland",0
"Aarhus","0 years","Iceland",1
"Aarhus","0 years","Italy",0
"Aarhus","0 years","Yugoslavia",0
"Aarhus","0 years","Yugoslavia, Federal Republic",0
"Aarhus","0 years","Kosovo",0
"Aarhus","0 years","Croatia",0
"Aarhus","0 years","Latvia",0
"Aarhus","0 years","Liechtenstein",0
"Aarhus","0 years","Lithuania",1
"Aarhus","0 years","Luxembourg",0
"Aarhus","0 years","Malta",0
"Aarhus","0 years","Moldova",0
"Aarhus","0 years","Monaco",0
"Aarhus","0 years","Montenegro",0
"Aarhus","0 years","Netherlands",1
"Aarhus","0 years","Northern Ireland",0
"Aarhus","0 years","Republic of North Macedonia",0
"Aarhus","0 years","Norway",1
"Aarhus","0 years","Poland",1
"Aarhus","0 years","Portugal",1
"Aarhus","0 years","Romania",2
"Aarhus","0 years","Russia",0
"Aarhus","0 years","San Marino",0
"Aarhus","0 years","Switzerland",0
"Aarhus","0 years","Serbia",0
"Aarhus","0 years","Serbia and Montenegro",0
"Aarhus","0 years","Slovakia",0
"Aarhus","0 years","Slovenia",0
"Aarhus","0 years","Soviet Union",0
"Aarhus","0 years","Spain",0
"Aarhus","0 years","United Kingdom",1
"Aarhus","0 years","Sweden",0
"Aarhus","0 years","Czech Republic",0
"Aarhus","0 years","Czechoslovakia",0
"Aarhus","0 years","Turkey",1
"Aarhus","0 years","Germany",1
"Aarhus","0 years","Ukraine",1
"Aarhus","0 years","Hungary",0
"Aarhus","0 years","Vatican City State",0
"Aarhus","0 years","Austria",0
"Aarhus","0 years","Europe not stated",0
"Aarhus","0 years","Algeria",0
"Aarhus","0 years","Angola",0
"Aarhus","0 years","Benin",0
"Aarhus","0 years","Botswana",0
"Aarhus","0 years","Burkina Faso",0
"Aarhus","0 years","Burundi",0
